repo,pr_number,categoria,URL
commons-io,530,REQ,https://github.com/apache/commons-io/pull/530
accumulo,3785,BUG,https://github.com/apache/ACCUMULO/pull/3785
helix,2107,REQ,https://github.com/apache/helix/pull/2107
struts,532,REQ,https://github.com/apache/struts/pull/532
accumulo,3729,REQ,https://github.com/apache/ACCUMULO/pull/3729
accumulo,3150,BUG,https://github.com/apache/ACCUMULO/pull/3150
accumulo,2186,REF,https://github.com/apache/ACCUMULO/pull/2186
accumulo,3437,REQ,https://github.com/apache/ACCUMULO/pull/3437
accumulo,2129,REQ,https://github.com/apache/ACCUMULO/pull/2129
accumulo,2369,BUG,https://github.com/apache/ACCUMULO/pull/2369
helix,1678,REQ,https://github.com/apache/helix/pull/1678
accumulo,2590,REF,https://github.com/apache/ACCUMULO/pull/2590
accumulo,1701,REQ,https://github.com/apache/ACCUMULO/pull/1701
helix,1625,BUG,https://github.com/apache/helix/pull/1625
helix,2462,REF,https://github.com/apache/helix/pull/2462
accumulo,4287,UNKNOWN,https://github.com/apache/accumulo/pull/4287
accumulo,1614,REQ,https://github.com/apache/accumulo/pull/1614
helix,2102,REF,https://github.com/apache/helix/pull/2102
accumulo,2661,REQ,https://github.com/apache/accumulo/pull/2661
helix,1627,BUG,https://github.com/apache/helix/pull/1627
opennlp,473,REF,https://github.com/apache/opennlp/pull/473
helix,2149,REQ,https://github.com/apache/helix/pull/2149
accumulo,4150,BUG,https://github.com/apache/accumulo/pull/4150
commons-io,325,BUG,https://github.com/apache/commons-io/pull/325
accumulo,2143,REQ,https://github.com/apache/accumulo/pull/2143
helix,2507,REF,https://github.com/apache/helix/pull/2507
accumulo,3927,REQ,https://github.com/apache/ACCUMULO/pull/3927
accumulo,1891,REQ,https://github.com/apache/ACCUMULO/pull/1891
helix,1580,BUG,https://github.com/apache/helix/pull/1580
accumulo,4296,REF,https://github.com/apache/ACCUMULO/pull/4296
helix,2055,REQ,https://github.com/apache/helix/pull/2055
accumulo,1546,REF,https://github.com/apache/ACCUMULO/pull/1546
struts,657,REF,https://github.com/apache/struts/pull/657
httpcomponents-client,235,BUG,https://github.com/apache/httpcomponents-client/pull/235
accumulo,1774,REF,https://github.com/apache/ACCUMULO/pull/1774
accumulo,1970,REQ,https://github.com/apache/ACCUMULO/pull/1970
struts,659,REF,https://github.com/apache/struts/pull/659
httpcomponents-client,484,REF,https://github.com/apache/httpcomponents-client/pull/484
struts,741,REQ,https://github.com/apache/struts/pull/741
helix,1875,BUG,https://github.com/apache/helix/pull/1875
accumulo,4185,REF,https://github.com/apache/ACCUMULO/pull/4185
commons-lang,1148,REF,https://github.com/apache/commons-lang/pull/1148
accumulo,2126,REQ,https://github.com/apache/ACCUMULO/pull/2126
accumulo,4272,BUG,https://github.com/apache/ACCUMULO/pull/4272
struts,531,REQ,https://github.com/apache/struts/pull/531
accumulo,3664,BUG,https://github.com/apache/ACCUMULO/pull/3664
accumulo,4085,REF,https://github.com/apache/ACCUMULO/pull/4085
accumulo,2178,BUG,https://github.com/apache/ACCUMULO/pull/2178
zookeeper,1915,BUG,https://github.com/apache/zookeeper/pull/1915
accumulo,4104,REF,https://github.com/apache/ACCUMULO/pull/4104
accumulo,2335,REQ,https://github.com/apache/ACCUMULO/pull/2335
accumulo,1833,BUG,https://github.com/apache/ACCUMULO/pull/1833
helix,1846,BUG,https://github.com/apache/helix/pull/1846
httpcomponents-client,351,REQ,https://github.com/apache/httpcomponents-client/pull/351
accumulo,2236,REQ,https://github.com/apache/accumulo/pull/2236
accumulo,3195,REF,https://github.com/apache/accumulo/pull/3195
accumulo,2045,REF,https://github.com/apache/accumulo/pull/2045
opennlp,461,REF,https://github.com/apache/opennlp/pull/461
struts,666,REF,https://github.com/apache/struts/pull/666
accumulo,4101,BUG,https://github.com/apache/ACCUMULO/pull/4101
accumulo,2804,REF,https://github.com/apache/ACCUMULO/pull/2804
helix,1579,REQ,https://github.com/apache/helix/pull/1579
accumulo,4284,REQ,https://github.com/apache/accumulo/pull/4284
accumulo,2289,REQ,https://github.com/apache/accumulo/pull/2289
accumulo,1650,BUG,https://github.com/apache/accumulo/pull/1650
accumulo,3568,REQ,https://github.com/apache/accumulo/pull/3568
accumulo,1705,REF,https://github.com/apache/accumulo/pull/1705
accumulo,1381,REQ,https://github.com/apache/accumulo/pull/1381
accumulo,2135,REF,https://github.com/apache/accumulo/pull/2135
accumulo,4121,REF,https://github.com/apache/accumulo/pull/4121
commons-collections,300,BUG,https://github.com/apache/commons-collections/pull/300
accumulo,4212,REF,https://github.com/apache/accumulo/pull/4212
helix,2410,REQ,https://github.com/apache/helix/pull/2410
accumulo,1632,BUG,https://github.com/apache/accumulo/pull/1632
helix,1680,REF,https://github.com/apache/helix/pull/1680
helix,2032,REF,https://github.com/apache/helix/pull/2032
accumulo,3479,BUG,https://github.com/apache/accumulo/pull/3479
accumulo,2896,REF,https://github.com/apache/accumulo/pull/2896
httpcomponents-client,372,BUG,https://github.com/apache/httpcomponents-client/pull/372
accumulo,4282,BUG,https://github.com/apache/accumulo/pull/4282
accumulo,3141,REQ,https://github.com/apache/accumulo/pull/3141
accumulo,2549,REQ,https://github.com/apache/accumulo/pull/2549
accumulo,2097,BUG,https://github.com/apache/accumulo/pull/2097
accumulo,1541,REF,https://github.com/apache/accumulo/pull/1541
accumulo,1553,REF,https://github.com/apache/accumulo/pull/1553
helix,1732,REF,https://github.com/apache/helix/pull/1732
accumulo,2648,BUG,https://github.com/apache/accumulo/pull/2648
accumulo,1927,REF,https://github.com/apache/accumulo/pull/1927
accumulo,3403,BUG,https://github.com/apache/accumulo/pull/3403
accumulo,2213,REF,https://github.com/apache/accumulo/pull/2213
accumulo,1746,BUG,https://github.com/apache/accumulo/pull/1746
accumulo,1605,REQ,https://github.com/apache/accumulo/pull/1605
zookeeper,2114,BUG,https://github.com/apache/zookeeper/pull/2114
struts,552,REF,https://github.com/apache/struts/pull/552
accumulo,3813,REF,https://github.com/apache/accumulo/pull/3813
commons-collections,315,REF,https://github.com/apache/commons-collections/pull/315
accumulo,2243,BUG,https://github.com/apache/accumulo/pull/2243
httpcomponents-client,501,BUG,https://github.com/apache/httpcomponents-client/pull/501
commons-collections,316,REQ,https://github.com/apache/commons-collections/pull/316
opennlp,512,REQ,https://github.com/apache/opennlp/pull/512
accumulo,2106,REQ,https://github.com/apache/accumulo/pull/2106
helix,1508,BUG,https://github.com/apache/helix/pull/1508
accumulo,3481,REQ,https://github.com/apache/accumulo/pull/3481
accumulo,1765,REQ,https://github.com/apache/accumulo/pull/1765
accumulo,1795,REQ,https://github.com/apache/accumulo/pull/1795
accumulo,2234,REQ,https://github.com/apache/accumulo/pull/2234
accumulo,2339,REQ,https://github.com/apache/accumulo/pull/2339
helix,2097,REF,https://github.com/apache/helix/pull/2097
accumulo,3366,BUG,https://github.com/apache/accumulo/pull/3366
accumulo,1575,REQ,https://github.com/apache/accumulo/pull/1575
accumulo,1599,REF,https://github.com/apache/accumulo/pull/1599
accumulo,4260,BUG,https://github.com/apache/accumulo/pull/4260
accumulo,1868,BUG,https://github.com/apache/accumulo/pull/1868
accumulo,3941,REF,https://github.com/apache/accumulo/pull/3941
accumulo,3099,BUG,https://github.com/apache/accumulo/pull/3099
accumulo,3824,REQ,https://github.com/apache/accumulo/pull/3824
accumulo,3152,REQ,https://github.com/apache/accumulo/pull/3152
helix,1899,REQ,https://github.com/apache/helix/pull/1899
accumulo,2580,REF,https://github.com/apache/accumulo/pull/2580
accumulo,4126,REF,https://github.com/apache/accumulo/pull/4126
accumulo,3681,REF,https://github.com/apache/accumulo/pull/3681
accumulo,3639,REQ,https://github.com/apache/accumulo/pull/3639
accumulo,3984,BUG,https://github.com/apache/accumulo/pull/3984
helix,1487,REQ,https://github.com/apache/helix/pull/1487
opennlp,585,REQ,https://github.com/apache/opennlp/pull/585
helix,2234,REQ,https://github.com/apache/helix/pull/2234
accumulo,2834,REQ,https://github.com/apache/accumulo/pull/2834
accumulo,2397,BUG,https://github.com/apache/accumulo/pull/2397
accumulo,3028,BUG,https://github.com/apache/accumulo/pull/3028
accumulo,1706,REQ,https://github.com/apache/accumulo/pull/1706
accumulo,2084,REQ,https://github.com/apache/accumulo/pull/2084
accumulo,2224,REF,https://github.com/apache/accumulo/pull/2224
accumulo,1424,BUG,https://github.com/apache/accumulo/pull/1424
helix,1870,REF,https://github.com/apache/helix/pull/1870
accumulo,2214,REF,https://github.com/apache/accumulo/pull/2214
accumulo,2377,REF,https://github.com/apache/accumulo/pull/2377
helix,2318,BUG,https://github.com/apache/helix/pull/2318
httpcomponents-client,287,BUG,https://github.com/apache/httpcomponents-client/pull/287
accumulo,3773,REF,https://github.com/apache/accumulo/pull/3773
helix,2680,REQ,https://github.com/apache/helix/pull/2680
accumulo,4059,REQ,https://github.com/apache/accumulo/pull/4059
accumulo,2643,REF,https://github.com/apache/accumulo/pull/2643
helix,1550,REQ,https://github.com/apache/helix/pull/1550
accumulo,1934,BUG,https://github.com/apache/accumulo/pull/1934
accumulo,2876,BUG,https://github.com/apache/accumulo/pull/2876
accumulo,4007,REF,https://github.com/apache/accumulo/pull/4007
helix,2153,REQ,https://github.com/apache/helix/pull/2153
accumulo,3476,REQ,https://github.com/apache/accumulo/pull/3476
helix,1611,REF,https://github.com/apache/helix/pull/1611
accumulo,2225,REQ,https://github.com/apache/accumulo/pull/2225
struts,867,REQ,https://github.com/apache/struts/pull/867
accumulo,3843,REF,https://github.com/apache/accumulo/pull/3843
accumulo,3620,REQ,https://github.com/apache/accumulo/pull/3620
accumulo,3960,REQ,https://github.com/apache/accumulo/pull/3960
wicket,708,BUG,https://github.com/apache/wicket/pull/708
commons-lang,965,REF,https://github.com/apache/commons-lang/pull/965
accumulo,2297,REF,https://github.com/apache/accumulo/pull/2297
helix,2653,BUG,https://github.com/apache/helix/pull/2653
accumulo,4120,REQ,https://github.com/apache/accumulo/pull/4120
helix,1764,REF,https://github.com/apache/helix/pull/1764
zookeeper,1992,REQ,https://github.com/apache/zookeeper/pull/1992
accumulo,3987,BUG,https://github.com/apache/accumulo/pull/3987
helix,1834,REQ,https://github.com/apache/helix/pull/1834
accumulo,3322,REQ,https://github.com/apache/accumulo/pull/3322
accumulo,2752,REF,https://github.com/apache/accumulo/pull/2752
accumulo,1304,REQ,https://github.com/apache/accumulo/pull/1304
accumulo,3244,REQ,https://github.com/apache/accumulo/pull/3244
helix,2549,UNKNOWN,https://github.com/apache/helix/pull/2549
struts,323,REQ,https://github.com/apache/struts/pull/323
helix,2127,REQ,https://github.com/apache/helix/pull/2127
helix,2597,REQ,https://github.com/apache/helix/pull/2597
accumulo,3996,REQ,https://github.com/apache/accumulo/pull/3996
accumulo,2112,REF,https://github.com/apache/accumulo/pull/2112
helix,2641,REQ,https://github.com/apache/helix/pull/2641
accumulo,2612,REF,https://github.com/apache/accumulo/pull/2612
accumulo,2374,REQ,https://github.com/apache/accumulo/pull/2374
opennlp,502,REF,https://github.com/apache/opennlp/pull/502
helix,2588,REQ,https://github.com/apache/helix/pull/2588
accumulo,2727,REF,https://github.com/apache/accumulo/pull/2727
accumulo,3297,BUG,https://github.com/apache/accumulo/pull/3297
accumulo,1925,REF,https://github.com/apache/accumulo/pull/1925
accumulo,2407,UNKNOWN,https://github.com/apache/accumulo/pull/2407
accumulo,3392,BUG,https://github.com/apache/accumulo/pull/3392
accumulo,4011,REF,https://github.com/apache/accumulo/pull/4011
helix,2580,REQ,https://github.com/apache/helix/pull/2580
helix,1534,BUG,https://github.com/apache/helix/pull/1534
accumulo,4063,REQ,https://github.com/apache/accumulo/pull/4063
accumulo,2408,REQ,https://github.com/apache/accumulo/pull/2408
accumulo,3047,REQ,https://github.com/apache/accumulo/pull/3047
commons-lang,634,REF,https://github.com/apache/commons-lang/pull/634
accumulo,1761,REF,https://github.com/apache/accumulo/pull/1761
helix,2579,BUG,https://github.com/apache/helix/pull/2579
accumulo,2608,REF,https://github.com/apache/accumulo/pull/2608
accumulo,4024,BUG,https://github.com/apache/accumulo/pull/4024
accumulo,2496,REF,https://github.com/apache/accumulo/pull/2496
accumulo,3154,REQ,https://github.com/apache/accumulo/pull/3154
accumulo,1945,REQ,https://github.com/apache/accumulo/pull/1945
commons-collections,317,REF,https://github.com/apache/commons-collections/pull/317
helix,2392,BUG,https://github.com/apache/helix/pull/2392
accumulo,2490,REF,https://github.com/apache/accumulo/pull/2490
accumulo,4201,BUG,https://github.com/apache/accumulo/pull/4201
helix,1620,REQ,https://github.com/apache/helix/pull/1620
accumulo,2987,BUG,https://github.com/apache/accumulo/pull/2987
accumulo,2895,REQ,https://github.com/apache/accumulo/pull/2895
helix,2352,REF,https://github.com/apache/helix/pull/2352
helix,2555,REQ,https://github.com/apache/helix/pull/2555
accumulo,3659,REQ,https://github.com/apache/accumulo/pull/3659
helix,2333,REQ,https://github.com/apache/helix/pull/2333
wicket,604,BUG,https://github.com/apache/wicket/pull/604
helix,2488,REQ,https://github.com/apache/helix/pull/2488
helix,2470,REF,https://github.com/apache/helix/pull/2470
struts,477,BUG,https://github.com/apache/struts/pull/477
accumulo,3723,REQ,https://github.com/apache/accumulo/pull/3723
accumulo,3870,REQ,https://github.com/apache/accumulo/pull/3870
accumulo,2646,REF,https://github.com/apache/accumulo/pull/2646
struts,861,REQ,https://github.com/apache/struts/pull/861
accumulo,1346,REF,https://github.com/apache/accumulo/pull/1346
accumulo,1404,REQ,https://github.com/apache/accumulo/pull/1404
accumulo,3977,REF,https://github.com/apache/accumulo/pull/3977
commons-lang,269,BUG,https://github.com/apache/commons-lang/pull/269
accumulo,3599,REF,https://github.com/apache/accumulo/pull/3599
commons-io,468,REF,https://github.com/apache/commons-io/pull/468
accumulo,3036,REF,https://github.com/apache/accumulo/pull/3036
accumulo,2462,REQ,https://github.com/apache/accumulo/pull/2462
accumulo,2615,REQ,https://github.com/apache/accumulo/pull/2615
accumulo,2937,REQ,https://github.com/apache/accumulo/pull/2937
accumulo,3032,BUG,https://github.com/apache/accumulo/pull/3032
helix,2710,BUG,https://github.com/apache/helix/pull/2710
struts,559,REQ,https://github.com/apache/struts/pull/559
accumulo,4115,BUG,https://github.com/apache/accumulo/pull/4115
accumulo,2794,BUG,https://github.com/apache/accumulo/pull/2794
helix,2666,BUG,https://github.com/apache/helix/pull/2666
helix,1583,BUG,https://github.com/apache/helix/pull/1583
accumulo,3542,REQ,https://github.com/apache/accumulo/pull/3542
zookeeper,2001,REQ,https://github.com/apache/zookeeper/pull/2001
accumulo,1441,REF,https://github.com/apache/accumulo/pull/1441
accumulo,2969,BUG,https://github.com/apache/accumulo/pull/2969
helix,2505,REF,https://github.com/apache/helix/pull/2505
accumulo,2756,REQ,https://github.com/apache/accumulo/pull/2756
commons-lang,933,REF,https://github.com/apache/commons-lang/pull/933
zookeeper,1799,REQ,https://github.com/apache/zookeeper/pull/1799
accumulo,3912,BUG,https://github.com/apache/accumulo/pull/3912
httpcomponents-client,343,BUG,https://github.com/apache/httpcomponents-client/pull/343
helix,2586,REQ,https://github.com/apache/helix/pull/2586
helix,1685,REF,https://github.com/apache/helix/pull/1685
accumulo,3725,REQ,https://github.com/apache/accumulo/pull/3725
helix,1449,REF,https://github.com/apache/helix/pull/1449
accumulo,3992,REQ,https://github.com/apache/accumulo/pull/3992
accumulo,3923,REQ,https://github.com/apache/accumulo/pull/3923
accumulo,2403,REQ,https://github.com/apache/accumulo/pull/2403
